,tos,sos,spco2,mlotst,o2os,no3os,po4os,sios,dfeos,co3,Cyanobacteria,Proteobacteria,Ascomycota,Bacteroidetes,Firmicutes,Richness,Shannon,bi-cycle,3h4h,Assimilatory_nitrate_reduction,Assimilatory_sulfate_reduction,ATP_synthesis,Calvin_cycle,Cysteine_biosynthesis,Denitrification,Dissimilatory_nitrate_reduction,Dissimilatory_sulfate_reduction,Nitrification,Nitrogen_fixation,Pta-Ack,antenna_proteins,Photosynthetic_electron_transport,Photosystem_I,Photosystem_II,acetyl-CoA_pathway,Sulfur_oxidation
SRR12479645,30.50114775,34.054959,42.06991125,10.462116,0.197312245,0.000432868,2.36E-06,0.001507619,4.52E-07,0.235964458,0.637197462,0.194293474,0.02945088,0.0167079,0.037298252,2941,2.64367461,0.010150335,0.004614196,0.098192837,0.297861008,0.012506598,0.047020839,0.143177141,0.044990701,0.018360436,0.034611606,0.00332354,0.03800271,0.109222186,0.011206794,0.016876297,0.00340833,0.008867387,0.083505381,0.014101678
SRR12479646,30.50114775,34.054959,42.06991125,10.462116,0.197312245,0.000432868,2.36E-06,0.001507619,4.52E-07,0.235964458,0.546598463,0.200465247,0.049584267,0.019695751,0.022491118,2978,3.057923887,0.007024524,0.004259521,0.054106924,0.260647375,0.017044958,0.127511502,0.13185275,0.038973818,0.0165078,0.033440963,0.002869895,0.033503825,0.125532208,0.011006652,0.018280094,0.004707477,0.017661678,0.061426892,0.033641144
SRR12479647,30.37952425,34.07594975,41.98058,12.29410625,0.19768385,0.000352643,2.37E-06,0.001499276,4.06E-07,0.235827693,0.515216038,0.237216445,0.043903552,0.021420419,0.026448978,2965,3.194799422,0.008937438,0.004701976,0.064567525,0.289089614,0.01429486,0.072271456,0.141535458,0.043715889,0.018335786,0.035155099,0.003279214,0.037698595,0.119824883,0.011402057,0.017472678,0.003496882,0.012945009,0.075197945,0.026077636
SRR12479648,30.37952425,34.07594975,41.98058,12.29410625,0.19768385,0.000352643,2.37E-06,0.001499276,4.06E-07,0.235827693,0.500310983,0.256821242,0.043765549,0.023593935,0.025563241,2960,3.221142022,0.007146316,0.004242146,0.052161095,0.254560255,0.013681254,0.186806109,0.12381044,0.037349464,0.016237069,0.032934892,0.002838925,0.033727756,0.111361855,0.009735606,0.017213367,0.003784278,0.012177635,0.063486929,0.016744611
SRR12479649,25.23530925,35.69501625,41.03202675,23.5322955,0.21624043,8.62E-05,1.27E-05,0.001230573,3.58E-07,0.23265659,0.557635413,0.179724044,0.055505794,0.023768211,0.024753407,2993,2.878789701,0.007189878,0.004539058,0.052268746,0.282680949,0.014852923,0.089404244,0.139223893,0.040167584,0.017502123,0.035826359,0.003211288,0.036327146,0.122588843,0.010355364,0.019782037,0.004388066,0.013007196,0.064703273,0.041981031
SRR12479650,30.37952425,34.07594975,41.98058,12.29410625,0.19768385,0.000352643,2.37E-06,0.001499276,4.06E-07,0.235827693,0.552388385,0.238276337,0.037745913,0.023020627,0.021944759,2961,3.173171529,0.010304792,0.004590479,0.06244366,0.289317388,0.014712003,0.076812773,0.138702859,0.044742508,0.017806579,0.035081104,0.003133667,0.03647385,0.119815289,0.011338575,0.018492078,0.004066065,0.011615214,0.083135357,0.017415758
SRR12479651,26.3385195,34.917725,44.752591,17.598178,0.210192863,0.004035264,0.000294972,0.001654855,3.79E-08,0.215433378,0.118877602,0.28191183,0.135787811,0.079590922,0.051156473,3007,5.271107304,0.007719869,0.003772474,0.048051848,0.24900503,0.012610441,0.119680174,0.126452701,0.037067416,0.014669095,0.028173587,0.002652465,0.02977051,0.142453058,0.010745621,0.014754461,0.002696166,0.00683419,0.065496482,0.077394412
SRR12479652,18.3405475,35.2731585,39.1295035,20.42961175,0.244430478,2.13E-05,2.05E-05,0.001189069,2.43E-07,0.194196528,0.540560652,0.143947614,0.069171364,0.029593036,0.024739123,3029,3.251953004,0.007314252,0.003819029,0.053262973,0.251846756,0.013699359,0.138955105,0.130363125,0.036318486,0.015413316,0.030682346,0.002660427,0.03069102,0.135090954,0.008987023,0.018865461,0.003569757,0.011193439,0.060470813,0.046796361
SRR12479653,26.19973975,34.827438,44.57599475,12.37135375,0.209381965,0.003956797,0.000286406,0.001732556,4.31E-08,0.214040248,0.062996911,0.28333544,0.154505862,0.078080931,0.045990044,2972,5.436072135,0.009736089,0.003762764,0.053314775,0.259594335,0.011027644,0.096245055,0.127388089,0.039009145,0.014848116,0.026855567,0.002693724,0.029604856,0.140256676,0.010106129,0.014808764,0.001945047,0.005267193,0.077063225,0.076472808
SRR12479654,27.17406125,34.34466875,41.57817275,10.8366075,0.21015463,0.001226473,9.89E-05,0.001423703,5.11E-08,0.22308086,0.081935804,0.327193701,0.119615018,0.097151413,0.054981579,3029,5.269125235,0.009610845,0.00441107,0.055863005,0.289727468,0.01188664,0.070495921,0.141637191,0.043399292,0.017884823,0.033352564,0.002968848,0.03534787,0.126208686,0.011202652,0.015971424,0.002356094,0.006052561,0.080119597,0.041503451
